9.958619999999999806e+00,0.000000000000000000e+00,3.929757914730471039e+10,1.189667394401051331e+10
1.019386000000000081e+01,2.352400000000010039e-01,2.674793868583039856e+10,8.184901091433059692e+09
1.043584000000000067e+01,4.772200000000008657e-01,3.122322311504094696e+10,9.665270798562269211e+09
1.067957000000000001e+01,7.209500000000002018e-01,2.779089896026683807e+10,8.704288214462242126e+09
1.091140000000000043e+01,9.527800000000006264e-01,3.056760989421519470e+10,9.686388903528110504e+09
1.115657000000000032e+01,1.197950000000000514e+00,2.549189959900117111e+10,8.183928535972382545e+09
1.138683999999999941e+01,1.428219999999999601e+00,2.409662368980744934e+10,7.834115900574720383e+09
1.162959000000000032e+01,1.670970000000000510e+00,2.157727275825851440e+10,7.107558086425601959e+09
1.185923999999999978e+01,1.900619999999999976e+00,2.103928339756279755e+10,7.023884416085422516e+09
1.210530999999999935e+01,2.146689999999999543e+00,1.446308628783717537e+10,4.891623443360361099e+09
1.233641000000000076e+01,2.377790000000000958e+00,1.687896034443997002e+10,5.792484306725048065e+09
1.256711999999999918e+01,2.608499999999999375e+00,1.472052753054460907e+10,5.123877576813542366e+09
1.279377000000000031e+01,2.835150000000000503e+00,1.574642326529119873e+10,5.564642883163468361e+09
1.302871000000000024e+01,3.070090000000000430e+00,1.194081401731921959e+10,4.286807647077238560e+09
1.324863999999999997e+01,3.290020000000000167e+00,1.294028182223078918e+10,4.725283183669878006e+09
1.347813999999999979e+01,3.519519999999999982e+00,1.058647493985865593e+10,3.930157989520359516e+09
1.371000000000000085e+01,3.751380000000001047e+00,1.053659984131919861e+10,3.980745642968622684e+09
1.393349000000000082e+01,3.974870000000001014e+00,7.012697372964340210e+09,2.695202724094515324e+09
1.415288999999999930e+01,4.194269999999999499e+00,9.030216955758056641e+09,3.538354520042302608e+09
1.437466000000000044e+01,4.416040000000000632e+00,6.989895577139575958e+09,2.791030940149465561e+09
1.459143000000000079e+01,4.632810000000000983e+00,7.068936346988535881e+09,2.878234990387778282e+09
1.480926999999999971e+01,4.850649999999999906e+00,5.925646155236050606e+09,2.466255021001109600e+09
1.502891999999999939e+01,5.070299999999999585e+00,6.029012762984880447e+09,2.567083174532486439e+09
1.524391999999999925e+01,5.285299999999999443e+00,4.651007411968233109e+09,2.024956180060344458e+09
1.545181000000000004e+01,5.493190000000000239e+00,4.210427397227826595e+09,1.878600692828771591e+09
1.567183999999999955e+01,5.713219999999999743e+00,3.600600455399481773e+09,1.648102159370872259e+09
1.587113000000000085e+01,5.912510000000001043e+00,3.669508261856942654e+09,1.724756946495084763e+09
1.610602000000000089e+01,6.147400000000001086e+00,3.035457673544682980e+09,1.468429533579998255e+09
1.628831999999999880e+01,6.329699999999998994e+00,2.993258058915972710e+09,1.491313025481865406e+09
1.649823999999999913e+01,6.539619999999999322e+00,2.708127790267508507e+09,1.395453191831468582e+09
1.670649999999999835e+01,6.747879999999998546e+00,2.361752331642442703e+09,1.259053601582673073e+09
1.692171000000000092e+01,6.963090000000001112e+00,1.849043148461857319e+09,1.021581090644896626e+09
1.712463999999999942e+01,7.166019999999999612e+00,1.758780338595756054e+09,1.013302719686805725e+09
1.735263000000000133e+01,7.394010000000001526e+00,1.364992342785184145e+09,8.195723910381308794e+08
1.759638999999999953e+01,7.637769999999999726e+00,1.290801911666711807e+09,8.130831198565866947e+08
1.781792000000000087e+01,7.859300000000001063e+00,9.797928556523598433e+08,6.493753024596406221e+08
1.804948999999999870e+01,8.090869999999998896e+00,1.031838327071839929e+09,7.256500028254042864e+08
1.827683000000000035e+01,8.318210000000000548e+00,8.048182549343354702e+08,6.055669180882858038e+08
1.851661000000000001e+01,8.557990000000000208e+00,6.622937064460554123e+08,5.383146188629065752e+08
1.874510000000000076e+01,8.786480000000000956e+00,5.080961839062302709e+08,4.533612226833214760e+08
1.897848000000000113e+01,9.019860000000001321e+00,4.923860597026600838e+08,4.908398950728600621e+08
1.922476999999999947e+01,9.266149999999999665e+00,2.988162666686534882e+08,3.419843018200719357e+08
1.946019000000000077e+01,9.501570000000000960e+00,2.407300845865425467e+08,3.342633008441162109e+08
1.970400000000000063e+01,9.745380000000000820e+00,1.552013795650675297e+08,3.032178714201408029e+08
