Ne
P	n_e0
0.5	23006474733.54067
0.6938775510204082	28794412437.69929
0.8877551020408163	33421228783.538704
1.0816326530612246	37322640540.85686
1.2755102040816326	40730714180.7934
1.4693877551020407	43782096376.74821
1.663265306122449	46563536756.9961
1.8571428571428572	49133381466.38317
2.0510204081632653	51532699928.98076
2.2448979591836733	53791481269.47624
2.4387755102040813	55932294528.28079
2.63265306122449	57972558117.23472
2.826530612244898	59926005181.72844
3.020408163265306	61803662897.63773
3.2142857142857144	63614526579.98579
3.4081632653061225	65366035790.720184
3.6020408163265305	67064418265.103134
3.7959183673469385	68714943351.06775
3.9897959183673466	70322112108.39064
4.183673469387755	71889802179.31111
4.377551020408163	73421379780.92757
4.571428571428571	74919787408.26854
4.76530612244898	76387613328.34822
4.959183673469387	77827147239.8352
5.153061224489796	79240425292.6872
5.346938775510204	80629266832.0828
5.540816326530612	81995304638.63014
5.73469387755102	83340010008.27733
5.928571428571429	84664713701.3648
6.122448979591836	85970623557.52994
6.316326530612245	87258839398.7686
6.5102040816326525	88530365710.93536
6.704081632653061	89786122493.08553
6.8979591836734695	91026954586.27245
7.091836734693877	92253639732.94563
7.285714285714286	93466895570.71503
7.479591836734693	94667385726.84364
7.673469387755102	95855725150.10767
7.86734693877551	97032484792.8766
8.061224489795919	98198195737.11847
8.255102040816325	99353352842.52788
8.448979591836736	100498417982.3487
8.642857142857142	101633822922.11882
8.83673469387755	102759971888.06416
9.03061224489796	103877243864.82631
9.224489795918368	104985994656.3724
9.418367346938775	106086558739.05609
9.612244897959183	107179250931.71597
9.806122448979592	108264367904.26344
10.0	109342189543.30914
