Ar
P	Te
0.5	3.498872272374329
0.6938775510204082	3.193845579198033
0.8877551020408163	2.991083929225338
1.0816326530612246	2.842534091564251
1.2755102040816326	2.7269842275620473
1.4693877551020407	2.6333777437581767
1.663265306122449	2.5552893261235767
1.8571428571428572	2.4886853081205813
2.0510204081632653	2.430882665758166
2.2448979591836733	2.3800145940475046
2.4387755102040813	2.334734507917986
2.63265306122449	2.2940419461097576
2.826530612244898	2.2571750501448
3.020408163265306	2.223541414250998
3.2142857142857144	2.1926720663083694
3.4081632653061225	2.1641899335221546
3.6020408163265305	2.137787679721926
3.7959183673469385	2.113211780622766
3.9897959183673466	2.0902508558241473
4.183673469387755	2.0687269701971855
4.377551020408163	2.0484890476302904
4.571428571428571	2.029407814111351
4.76530612244898	2.0113718657094823
4.959183673469387	1.994284575953154
5.153061224489796	1.9780616378032836
5.346938775510204	1.962629091160414
5.540816326530612	1.947921725961475
5.73469387755102	1.933881778768036
5.928571428571429	1.9204578608486451
6.122448979591836	1.9076040704450408
6.316326530612245	1.8952792527615157
6.5102040816326525	1.883446379332817
6.704081632653061	1.8720720245397464
6.8979591836734695	1.8611259217041558
7.091836734693877	1.850580584774692
7.285714285714286	1.8404109843876753
7.479591836734693	1.830594269252476
7.673469387755102	1.8211095255105492
7.86734693877551	1.811937568067751
8.061224489795919	1.8030607589684278
8.255102040816325	1.7944628487429777
8.448979591836736	1.786128837352612
8.642857142857142	1.778044851917416
8.83673469387755	1.77019803887178
9.03061224489796	1.7625764685666028
9.224489795918368	1.7551690506453224
9.418367346938775	1.7479654587777116
9.612244897959183	1.7409560635448762
9.806122448979592	1.7341318724470356
10.0	1.7274844761524648
