Ne
P	Te
0.5	10.933580644918834
0.6938775510204082	9.360741763113909
0.8877551020408163	8.410580220757629
1.0816326530612246	7.758035034558577
1.2755102040816326	7.274227397477364
1.4693877551020407	6.896805731510892
1.663265306122449	6.591512054711032
1.8571428571428572	6.337775273257586
2.0510204081632653	6.122403947090301
2.2448979591836733	5.9364995172288735
2.4387755102040813	5.773812777362076
2.63265306122449	5.629808922448579
2.826530612244898	5.501106500258353
3.020408163265306	5.385125566174682
3.2142857142857144	5.279858715909661
3.4081632653061225	5.183717310455653
3.6020408163265305	5.095425354240453
3.7959183673469385	5.013944503601844
3.9897959183673466	4.938419958167847
4.183673469387755	4.868140692364486
4.377551020408163	4.802509740941182
4.571428571428571	4.741021665722597
4.76530612244898	4.683245238187989
4.959183673469387	4.628809968158888
5.153061224489796	4.577395507876859
5.346938775510204	4.528723232935148
5.540816326530612	4.482549490335537
5.73469387755102	4.438660136898321
5.928571428571429	4.396866086237536
6.122448979591836	4.3569996512271905
6.316326530612245	4.318911519206388
6.5102040816326525	4.282468234432627
6.704081632653061	4.247550090167314
6.8979591836734695	4.21404935384131
7.091836734693877	4.1818687647954595
7.285714285714286	4.150920256436609
7.479591836734693	4.121123864207737
7.673469387755102	4.092406788246132
7.86734693877551	4.064702585455497
8.061224489795919	4.037950470386229
8.255102040816325	4.012094708002295
8.448979591836736	3.987084084381272
8.642857142857142	3.962871443793271
8.83673469387755	3.9394132825251518
9.03061224489796	3.916669391404946
9.224489795918368	3.89460254026583
9.418367346938775	3.8731781986503977
9.612244897959183	3.852364287932237
9.806122448979592	3.8321309607576284
10.0	3.812450404315083
