He
P	n_e0
0.5	3358749307.545784
0.6938775510204082	6097101800.715066
0.8877551020408163	8524685176.173407
1.0816326530612246	10689928988.10407
1.2755102040816326	12650819690.547184
1.4693877551020407	14451313202.34335
1.663265306122449	16123260279.67645
1.8571428571428572	17689975122.63286
2.0510204081632653	19168893494.07014
2.2448979591836733	20573354183.019665
2.4387755102040813	21913780165.795475
2.63265306122449	23198472320.62274
2.826530612244898	24434153704.772633
3.020408163265306	25626350921.54154
3.2142857142857144	26779666981.45754
3.4081632653061225	27897980380.50464
3.6020408163265305	28984592981.983833
3.7959183673469385	30042341689.655304
3.9897959183673466	31073684053.20785
4.183673469387755	32080764796.192684
4.377551020408163	33065468169.20297
4.571428571428571	34029459623.220524
4.76530612244898	34974219332.24515
4.959183673469387	35901069421.158356
5.153061224489796	36811196278.56264
5.346938775510204	37705668992.716675
5.540816326530612	38585454700.490456
5.73469387755102	39451431456.67159
5.928571428571429	40304399095.16054
6.122448979591836	41145088451.498184
6.316326530612245	41974169238.65301
6.5102040816326525	42792256808.59533
6.704081632653061	43599917986.26312
6.8979591836734695	44397676126.7274
7.091836734693877	45186015518.260445
7.285714285714286	45965385231.73548
7.479591836734693	46736202499.0938
7.673469387755102	47498855689.3707
7.86734693877551	48253706939.31258
8.061224489795919	49001094486.30117
8.255102040816325	49741334743.69965
8.448979591836736	50474724152.496605
8.642857142857142	51201540837.979805
8.83673469387755	51922046095.9099
9.03061224489796	52636485729.10493
9.224489795918368	53345091252.39691
9.418367346938775	54048080981.40912
9.612244897959183	54745661018.5144
9.806122448979592	55438026147.55326
10.0	56125360647.37952
