Ar
P	Te
0.5	5.620944440713638
0.6938775510204082	4.953813679187156
0.8877551020408163	4.535286094033165
1.0816326530612246	4.239313224543341
1.2755102040816326	4.014570656408136
1.4693877551020407	3.835691060776898
1.663265306122449	3.6884835868360826
1.8571428571428572	3.564291815748615
2.0510204081632653	3.4574856894574135
2.2448979591836733	3.364217810979617
2.4387755102040813	3.2817535325802836
2.63265306122449	3.208085877620507
2.826530612244898	3.1417022520930913
3.020408163265306	3.08143684615628
3.2142857142857144	3.026373781462914
3.4081632653061225	2.975781549348977
3.6020408163265305	2.9290674228232776
3.7959183673469385	2.885745006346709
3.9897959183673466	2.8454106566772226
4.183673469387755	2.807726034040454
4.377551020408163	2.772404977752969
4.571428571428571	2.7392034891208854
4.76530612244898	2.7079119843635224
4.959183673469387	2.6783492309804817
5.153061224489796	2.6503575497025227
5.346938775510204	2.6237989798099797
5.540816326530612	2.598552186188379
5.73469387755102	2.574509943507195
5.928571428571429	2.551577073807247
6.122448979591836	2.5296687435190526
6.316326530612245	2.5087090477850347
6.5102040816326525	2.4886298262248405
6.704081632653061	2.469369666493578
6.8979591836734695	2.4508730612486933
7.091836734693877	2.4330896912336994
7.285714285714286	2.4159738126598995
7.479591836734693	2.3994837313265105
7.673469387755102	2.383581349257416
7.86734693877551	2.3682317722661916
8.061224489795919	2.3534029689565834
8.255102040816325	2.3390654733360914
8.448979591836736	2.325192124569471
8.642857142857142	2.3117578384830457
8.83673469387755	2.2987394063228144
9.03061224489796	2.286115316983953
9.224489795918368	2.2738655995322925
9.418367346938775	2.261971683316754
9.612244897959183	2.25041627339534
9.806122448979592	2.239183239314025
10.0	2.2282575155769364
