Ar
Power	T_e	n_e0
30315.22725559911	3.484146670945161	123818882328.2795
35883.33022091324	3.484146670945161	146561126021.2288
41451.43318622736	3.484146670945161	169303369714.1781
47019.536151541484	3.484146670945161	192045613407.12738
52587.6391168556	3.484146670945161	214787857100.07666
58155.74208216972	3.484146670945161	237530100793.02594
63723.84504748385	3.484146670945161	260272344485.97525
69291.94801279798	3.484146670945161	283014588178.92456
74860.05097811209	3.484146670945161	305756831871.87384
80428.15394342622	3.484146670945161	328499075564.8232
85996.25690874034	3.484146670945161	351241319257.77246
91564.35987405445	3.484146670945161	373983562950.72174
97132.46283936859	3.484146670945161	396725806643.671
102700.56580468272	3.484146670945161	419468050336.62036
108268.66876999683	3.484146670945161	442210294029.56964
113836.77173531095	3.484146670945161	464952537722.5189
119404.87470062508	3.484146670945161	487694781415.4682
124972.97766593921	3.484146670945161	510437025108.41754
130541.08063125332	3.484146670945161	533179268801.3668
136109.18359656745	3.484146670945161	555921512494.3162
141677.28656188157	3.484146670945161	578663756187.2654
147245.38952719572	3.484146670945161	601405999880.2148
152813.49249250983	3.484146670945161	624148243573.1641
158381.59545782395	3.484146670945161	646890487266.1134
163949.69842313806	3.484146670945161	669632730959.0626
169517.8013884522	3.484146670945161	692374974652.0121
175085.90435376632	3.484146670945161	715117218344.9613
180654.00731908044	3.484146670945161	737859462037.9105
186222.11028439456	3.484146670945161	760601705730.8597
191790.2132497087	3.484146670945161	783343949423.8092
197358.3162150228	3.484146670945161	806086193116.7584
202926.4191803369	3.484146670945161	828828436809.7076
208494.52214565105	3.484146670945161	851570680502.657
214062.6251109652	3.484146670945161	874312924195.6064
219630.7280762793	3.484146670945161	897055167888.5557
225198.8310415934	3.484146670945161	919797411581.5048
230766.93400690754	3.484146670945161	942539655274.4541
236335.0369722217	3.484146670945161	965281898967.4036
241903.13993753577	3.484146670945161	988024142660.3528
247471.2429028499	3.484146670945161	1010766386353.302
253039.34586816403	3.484146670945161	1033508630046.2513
258607.44883347818	3.484146670945161	1056250873739.2008
264175.5517987923	3.484146670945161	1078993117432.1501
269743.6547641064	3.484146670945161	1101735361125.099
275311.75772942055	3.484146670945161	1124477604818.0486
280879.86069473467	3.484146670945161	1147219848510.9978
286447.9636600487	3.484146670945161	1169962092203.947
292016.0666253629	3.484146670945161	1192704335896.8965
297584.169590677	3.484146670945161	1215446579589.8457
303152.27255599113	3.484146670945161	1238188823282.795
