Ar
P	n_e0
0.5	112579607959.68613
0.6938775510204082	134871116366.16068
0.8877551020408163	154340558989.44086
1.0816326530612246	172222954841.95984
1.2755102040816326	189110897637.7681
1.4693877551020407	205329650770.88885
1.663265306122449	221074164241.9482
1.8571428571428572	236468754182.84692
2.0510204081632653	251596423934.47534
2.2448979591836733	266514591700.0674
2.4387755102040813	281264109386.0778
2.63265306122449	295874712850.75116
2.826530612244898	310368457833.6013
3.020408163265306	324761962825.77106
3.2142857142857144	339067916619.6428
3.4081632653061225	353296117231.6459
3.6020408163265305	367454203502.7685
3.7959183673469385	381548180106.06396
3.9897959183673466	395582800626.59326
4.183673469387755	409561851244.3888
4.377551020408163	423488363598.5499
4.571428571428571	437364776406.48364
4.76530612244898	451193059478.4517
4.959183673469387	464974809782.71655
5.153061224489796	478711326494.3949
5.346938775510204	492403670072.34906
5.540816326530612	506052709078.9833
5.73469387755102	519659157509.5233
5.928571428571429	533223604712.9518
6.122448979591836	546746539486.2093
6.316326530612245	560228369554.7761
6.5102040816326525	573669437377.0294
6.704081632653061	587070033002.868
6.8979591836734695	600430404559.7643
7.091836734693877	613750766818.9723
7.285714285714286	627031308201.7714
7.479591836734693	640272196513.385
7.673469387755102	653473583635.7397
7.86734693877551	666635609365.765
8.061224489795919	679758404550.6089
8.255102040816325	692842093643.1694
8.448979591836736	705886796778.7402
8.642857142857142	718892631455.5746
8.83673469387755	731859713887.3884
9.03061224489796	744788160084.1025
9.224489795918368	757678086707.2698
9.418367346938775	770529611738.8561
9.612244897959183	783342854995.3453
9.806122448979592	796117938513.9595
10.0	808854986833.2205
