He
P	n_e0
0.5	13168564751.625296
0.6938775510204082	17553885298.70061
0.8877551020408163	21274369241.589794
1.0816326530612246	24551338752.38166
1.2755102040816326	27507054401.120243
1.4693877551020407	30216837091.65747
1.663265306122449	32730860272.800938
1.8571428571428572	35084518700.71147
2.0510204081632653	37303889147.18129
2.2448979591836733	39408843364.90173
2.4387755102040813	41414937762.02197
2.63265306122449	43334620222.78071
2.826530612244898	45178033642.63544
3.020408163265306	46953569865.75293
3.2142857142857144	48668262929.992455
3.4081632653061225	50328075322.5112
3.6020408163265305	51938110911.849686
3.7959183673469385	53502776350.7496
3.9897959183673466	55025905460.51336
4.183673469387755	56510856500.22593
4.377551020408163	57960589229.39859
4.571428571428571	59377726678.5886
4.76530612244898	60764605185.89773
4.959183673469387	62123315316.14509
5.153061224489796	63455735615.08067
5.346938775510204	64763560674.38171
5.540816326530612	66048324636.269554
5.73469387755102	67311421010.66107
5.928571428571429	68554119486.730034
6.122448979591836	69777580276.42448
6.316326530612245	70982866417.3962
6.5102040816326525	72170954377.9496
6.704081632653061	73342743240.66241
6.8979591836734695	74499062689.61877
7.091836734693877	75640679985.33498
7.285714285714286	76768306078.94348
7.479591836734693	77882600991.1241
7.673469387755102	78984178560.26306
7.86734693877551	80073610647.24712
8.061224489795919	81151430870.38058
8.255102040816325	82218137932.48242
8.448979591836736	83274198592.79478
8.642857142857142	84320050328.52194
8.83673469387755	85356103724.30936
9.03061224489796	86382744622.53503
9.224489795918368	87400336062.71115
9.418367346938775	88409220034.44289
9.612244897959183	89409719065.12816
9.806122448979592	90402137660.81369
10.0	91386763616.25287
