He
P	Te
0.5	26.12141682073784
0.6938775510204082	18.95760720074046
0.8877551020408163	15.603651504796922
1.0816326530612246	13.613768550297067
1.2755102040816326	12.275543646836198
1.4693877551020407	11.302948638013454
1.663265306122449	10.557828507017609
1.8571428571428572	9.964817070352545
2.0510204081632653	9.479081651727569
2.2448979591836733	9.072164537550627
2.4387755102040813	8.725066376003662
2.63265306122449	8.424579115652579
2.826530612244898	8.161211590613012
3.020408163265306	7.927952572160543
3.2142857142857144	7.719500247102936
3.4081632653061225	7.5317642250835775
3.6020408163265305	7.361533379202433
3.7959183673469385	7.206248174227094
3.9897959183673466	7.0638408519170195
4.183673469387755	6.93262086873134
4.377551020408163	6.811191226938858
4.571428571428571	6.6983863411038795
4.76530612244898	6.593225199967626
4.959183673469387	6.494875576480626
5.153061224489796	6.4026263409382365
5.346938775510204	6.315865800422597
5.540816326530612	6.234064577362229
5.73469387755102	6.1567619471460295
5.928571428571429	6.08355484020154
6.122448979591836	6.014088916951747
6.316326530612245	5.948051270321344
6.5102040816326525	5.885164417112111
6.704081632653061	5.825181318209982
6.8979591836734695	5.76788122618907
7.091836734693877	5.71306620296706
7.285714285714286	5.660558183651995
7.479591836734693	5.610196488358971
7.673469387755102	5.5618357035722
7.86734693877551	5.515343870026792
8.061224489795919	5.470600926149113
8.255102040816325	5.427497365610422
8.448979591836736	5.3859330751033205
8.642857142857142	5.3458163244799675
8.83673469387755	5.307062886243014
9.03061224489796	5.269595265285683
9.224489795918368	5.233342022958548
9.418367346938775	5.198237182137203
9.612244897959183	5.1642197020734955
9.806122448979592	5.131233013583725
10.0	5.099224606556004
