He
P	n_e0
0.5	5730339671065236.0
0.6938775510204082	8956368550571674.0
0.8877551020408163	1.173454682997401e+16
1.0816326530612246	1.41898980241125e+16
1.2755102040816326	1.6406617691746106e+16
1.4693877551020407	1.8440150775675156e+16
1.663265306122449	2.0328324560756732e+16
1.8571428571428572	2.209798976566819e+16
2.0510204081632653	2.3768893517019452e+16
2.2448979591836733	2.5356005167757056e+16
2.4387755102040813	2.687096675443854e+16
2.63265306122449	2.832303134734827e+16
2.826530612244898	2.9719690672588652e+16
3.020408163265306	3.1067107538059264e+16
3.2142857142857144	3.2370421694627736e+16
3.4081632653061225	3.363397126175066e+16
3.6020408163265305	3.486145636710733e+16
3.7959183673469385	3.605606232344421e+16
3.9897959183673466	3.722055388428721e+16
4.183673469387755	3.835734844160573e+16
4.377551020408163	3.946857363178225e+16
4.571428571428571	4.055611322054953e+16
4.76530612244898	4.162164405397248e+16
4.959183673469387	4.2666666113291e+16
5.153061224489796	4.369252718469269e+16
5.346938775510204	4.4700443279062616e+16
5.540816326530612	4.5691515664511736e+16
5.73469387755102	4.666674517482142e+16
5.928571428571429	4.7627044308689496e+16
6.122448979591836	4.857324752337448e+16
6.316326530612245	4.950612004189849e+16
6.5102040816326525	5.042636542828317e+16
6.704081632653061	5.133463213528733e+16
6.8979591836734695	5.223151919011279e+16
7.091836734693877	5.311758115290885e+16
7.285714285714286	5.3993332458616776e+16
7.479591836734693	5.485925123334625e+16
7.673469387755102	5.571578266092541e+16
7.86734693877551	5.656334196270726e+16
8.061224489795919	5.740231704350301e+16
8.255102040816325	5.823307084816874e+16
8.448979591836736	5.9055943466507096e+16
8.642857142857142	5.987125401849084e+16
8.83673469387755	6.067930234709094e+16
9.03061224489796	6.14803705420943e+16
9.224489795918368	6.227472431499803e+16
9.418367346938775	6.306261424229009e+16
9.612244897959183	6.384427689214201e+16
9.806122448979592	6.461993584749608e+16
10.0	6.538980263690307e+16
