He
P	Te
0.5	17.7703513143324
0.6938775510204082	13.969656973244307
0.8877551020408163	11.970975629242265
1.0816326530612246	10.708146373302604
1.2755102040816326	9.823931213545675
1.4693877551020407	9.16278532954944
1.663265306122449	8.645373085480996
1.8571428571428572	8.22666353006399
2.0510204081632653	7.879040962931609
2.2448979591836733	7.584545953817843
2.4387755102040813	7.330947862345604
2.63265306122449	7.109601910446813
2.826530612244898	6.914207776212208
3.020408163265306	6.740054335340533
3.2142857142857144	6.5835410128772756
3.4081632653061225	6.441863759290638
3.6020408163265305	6.312802821693604
3.7959183673469385	6.194575567786672
3.9897959183673466	6.085732091680714
4.183673469387755	5.985079673373997
4.377551020408163	5.891627137618461
4.571428571428571	5.804543212900804
4.76530612244898	5.723124917924145
4.959183673469387	5.646773247178936
5.153061224489796	5.574974248030165
5.346938775510204	5.507284133855472
5.540816326530612	5.443317455729648
5.73469387755102	5.382737618100232
5.928571428571429	5.325249209551534
6.122448979591836	5.270591752640466
6.316326530612245	5.2185345731063215
6.5102040816326525	5.168872559383346
6.704081632653061	5.121422635716411
6.8979591836734695	5.076020811387382
7.091836734693877	5.0325196982088265
7.285714285714286	4.990786411052483
7.479591836734693	4.9507007835705865
7.673469387755102	4.912153844747327
7.86734693877551	4.875046512444977
8.061224489795919	4.839288468384313
8.255102040816325	4.804797185550616
8.448979591836736	4.7714970842338476
8.642857142857142	4.739318797090466
8.83673469387755	4.708198526983427
9.03061224489796	4.678077484082254
9.224489795918368	4.64890139092695
9.418367346938775	4.6206200459748175
9.612244897959183	4.593186937642154
9.806122448979592	4.566558902084411
10.0	4.540695818979796
