Ne
Power	T_e	n_e0
30315.22725559911	8.31914450128503	21818549111.56947
35883.33022091324	8.31914450128503	25826037723.898556
41451.43318622736	8.31914450128503	29833526336.227646
47019.536151541484	8.31914450128503	33841014948.55673
52587.6391168556	8.31914450128503	37848503560.88581
58155.74208216972	8.31914450128503	41855992173.2149
63723.84504748385	8.31914450128503	45863480785.54398
69291.94801279798	8.31914450128503	49870969397.87307
74860.05097811209	8.31914450128503	53878458010.20215
80428.15394342622	8.31914450128503	57885946622.53125
85996.25690874034	8.31914450128503	61893435234.86033
91564.35987405445	8.31914450128503	65900923847.18941
97132.46283936859	8.31914450128503	69908412459.5185
102700.56580468272	8.31914450128503	73915901071.84758
108268.66876999683	8.31914450128503	77923389684.17667
113836.77173531095	8.31914450128503	81930878296.50575
119404.87470062508	8.31914450128503	85938366908.83485
124972.97766593921	8.31914450128503	89945855521.16394
130541.08063125332	8.31914450128503	93953344133.49303
136109.18359656745	8.31914450128503	97960832745.82211
141677.28656188157	8.31914450128503	101968321358.15118
147245.38952719572	8.31914450128503	105975809970.48029
152813.49249250983	8.31914450128503	109983298582.80937
158381.59545782395	8.31914450128503	113990787195.13844
163949.69842313806	8.31914450128503	117998275807.46753
169517.8013884522	8.31914450128503	122005764419.79665
175085.90435376632	8.31914450128503	126013253032.12572
180654.00731908044	8.31914450128503	130020741644.4548
186222.11028439456	8.31914450128503	134028230256.78387
191790.2132497087	8.31914450128503	138035718869.11298
197358.3162150228	8.31914450128503	142043207481.44205
202926.4191803369	8.31914450128503	146050696093.77115
208494.52214565105	8.31914450128503	150058184706.10022
214062.6251109652	8.31914450128503	154065673318.42932
219630.7280762793	8.31914450128503	158073161930.7584
225198.8310415934	8.31914450128503	162080650543.08746
230766.93400690754	8.31914450128503	166088139155.41656
236335.0369722217	8.31914450128503	170095627767.74567
241903.13993753577	8.31914450128503	174103116380.0747
247471.2429028499	8.31914450128503	178110604992.4038
253039.34586816403	8.31914450128503	182118093604.73294
258607.44883347818	8.31914450128503	186125582217.062
264175.5517987923	8.31914450128503	190133070829.3911
269743.6547641064	8.31914450128503	194140559441.72015
275311.75772942055	8.31914450128503	198148048054.0493
280879.86069473467	8.31914450128503	202155536666.37836
286447.9636600487	8.31914450128503	206163025278.7074
292016.0666253629	8.31914450128503	210170513891.0365
297584.169590677	8.31914450128503	214178002503.3656
303152.27255599113	8.31914450128503	218185491115.6947
