Ne
P	Te
0.5	12.012704759413108
0.6938775510204082	10.184182486497546
0.8877551020408163	9.096039051919027
1.0816326530612246	8.35581020733693
1.2755102040816326	7.810621778381564
1.4693877551020407	7.387403531929973
1.663265306122449	7.0463673841307015
1.8571428571428572	6.763788010360086
2.0510204081632653	6.524536534889187
2.2448979591836733	6.318454533651026
2.4387755102040813	6.138435611450854
2.63265306122449	5.9793398885143985
2.826530612244898	5.8373455756589365
3.020408163265306	5.709543943377125
3.2142857142857144	5.593676657608828
3.4081632653061225	5.487959914428804
3.6020408163265305	5.390963404555131
3.7959183673469385	5.301524991996511
3.9897959183673466	5.21868928760431
4.183673469387755	5.1416625920660435
4.377551020408163	5.069779290868953
4.571428571428571	5.002476412850309
4.76530612244898	4.939274107348088
4.959183673469387	4.879760478415353
5.153061224489796	4.8235796714201165
5.346938775510204	4.77042241841549
5.540816326530612	4.720018464049089
5.73469387755102	4.672130445234769
5.928571428571429	4.626548905807878
6.122448979591836	4.583088205431628
6.316326530612245	4.541583139080841
6.5102040816326525	4.501886125647384
6.704081632653061	4.4638648557338305
6.8979591836734695	4.427400312513792
7.091836734693877	4.39238509765183
7.285714285714286	4.358722008197015
7.479591836734693	4.326322821137279
7.673469387755102	4.295107250707922
7.86734693877551	4.26500205014618
8.061224489795919	4.23594023481277
8.255102040816325	4.207860407748304
8.448979591836736	4.180706172066869
8.642857142857142	4.1544256172655585
8.83673469387755	4.12897086869893
9.03061224489796	4.104297691233086
9.224489795918368	4.080365139537547
9.418367346938775	4.057135248660256
9.612244897959183	4.034572759509178
9.806122448979592	4.012644874677093
10.0	3.9913210407181507
