Ne
P	n_e0
0.5	25313937104.723904
0.6938775510204082	31264862210.923176
0.8877551020408163	36027073217.764626
1.0816326530612246	40053343833.24377
1.2755102040816326	43580671797.70394
1.4693877551020407	46747366628.648506
1.663265306122449	49640823631.530495
1.8571428571428572	52319693721.86961
2.0510204081632653	54825233820.47572
2.2448979591836733	57187580569.47449
2.4387755102040813	59429437016.313354
2.63265306122449	61568350302.93655
2.826530612244898	63618178803.760216
3.020408163265306	65590071115.919495
3.2142857142857144	67493139390.13375
3.4081632653061225	69334934743.06563
3.6020408163265305	71121790720.34203
3.7959183673469385	72859076507.32225
3.9897959183673466	74551386991.32869
4.183673469387755	76202687736.5213
4.377551020408163	77816427177.22533
4.571428571428571	79395624583.439
4.76530612244898	80942939852.54881
4.959183673469387	82460729482.99103
5.153061224489796	83951091911.09819
5.346938775510204	85415904566.60443
5.540816326530612	86856854413.07623
5.73469387755102	88275463313.20299
5.928571428571429	89673109246.48155
6.122448979591836	91051044175.1694
6.316326530612245	92410409180.74179
6.5102040816326525	93752247361.5027
6.704081632653061	95077514881.48463
6.8979591836734695	96387090483.12923
7.091836734693877	97681783715.86964
7.285714285714286	98962342085.42311
7.479591836734693	100229457291.1491
7.673469387755102	101483770689.12158
7.86734693877551	102725878094.70218
8.061224489795919	103956334019.2098
8.255102040816325	105175655419.71643
8.448979591836736	106384325028.30711
8.642857142857142	107582794316.7437
8.83673469387755	108771486143.90558
9.03061224489796	109950797126.29372
9.224489795918368	111121099765.98401
9.418367346938775	112282744365.50018
9.612244897959183	113436060754.94073
9.806122448979592	114581359853.22511
10.0	115718935082.38089
