He
Power	T_e	n_e0
30315.22725559911	16.857995655579664	5277945673.803457
35883.33022091324	16.857995655579664	6247364266.951032
41451.43318622736	16.857995655579664	7216782860.098605
47019.536151541484	16.857995655579664	8186201453.246179
52587.6391168556	16.857995655579664	9155620046.393751
58155.74208216972	16.857995655579664	10125038639.541327
63723.84504748385	16.857995655579664	11094457232.6889
69291.94801279798	16.857995655579664	12063875825.836473
74860.05097811209	16.857995655579664	13033294418.984049
80428.15394342622	16.857995655579664	14002713012.131622
85996.25690874034	16.857995655579664	14972131605.279194
91564.35987405445	16.857995655579664	15941550198.426767
97132.46283936859	16.857995655579664	16910968791.574343
102700.56580468272	16.857995655579664	17880387384.721916
108268.66876999683	16.857995655579664	18849805977.86949
113836.77173531095	16.857995655579664	19819224571.017063
119404.87470062508	16.857995655579664	20788643164.16464
124972.97766593921	16.857995655579664	21758061757.312214
130541.08063125332	16.857995655579664	22727480350.459785
136109.18359656745	16.857995655579664	23696898943.60736
141677.28656188157	16.857995655579664	24666317536.754932
147245.38952719572	16.857995655579664	25635736129.90251
152813.49249250983	16.857995655579664	26605154723.050083
158381.59545782395	16.857995655579664	27574573316.197655
163949.69842313806	16.857995655579664	28543991909.345226
169517.8013884522	16.857995655579664	29513410502.49281
175085.90435376632	16.857995655579664	30482829095.64038
180654.00731908044	16.857995655579664	31452247688.787952
186222.11028439456	16.857995655579664	32421666281.935524
191790.2132497087	16.857995655579664	33391084875.083103
197358.3162150228	16.857995655579664	34360503468.23067
202926.4191803369	16.857995655579664	35329922061.37824
208494.52214565105	16.857995655579664	36299340654.52582
214062.6251109652	16.857995655579664	37268759247.6734
219630.7280762793	16.857995655579664	38238177840.82097
225198.8310415934	16.857995655579664	39207596433.96854
230766.93400690754	16.857995655579664	40177015027.11611
236335.0369722217	16.857995655579664	41146433620.263695
241903.13993753577	16.857995655579664	42115852213.41126
247471.2429028499	16.857995655579664	43085270806.55883
253039.34586816403	16.857995655579664	44054689399.706406
258607.44883347818	16.857995655579664	45024107992.85399
264175.5517987923	16.857995655579664	45993526586.00157
269743.6547641064	16.857995655579664	46962945179.14913
275311.75772942055	16.857995655579664	47932363772.296715
280879.86069473467	16.857995655579664	48901782365.44428
286447.9636600487	16.857995655579664	49871200958.59185
292016.0666253629	16.857995655579664	50840619551.73943
297584.169590677	16.857995655579664	51810038144.887
303152.27255599113	16.857995655579664	52779456738.03458
