Ar
P	n_e0
0.5	180673274114.34778
0.6938775510204082	214792172906.39862
0.8877551020408163	245574648568.6536
1.0816326530612246	274272319809.19763
1.2755102040816326	301523466194.4408
1.4693877551020407	327700438772.19073
1.663265306122449	353040171407.4583
1.8571428571428572	377702947035.7218
2.0510204081632653	401802280062.56866
2.2448979591836733	425421498817.22687
2.4387755102040813	448623574629.0967
2.63265306122449	471457256714.78705
2.826530612244898	493961064304.19904
3.020408163265306	516165975489.87524
3.2142857142857144	538097291617.2257
3.4081632653061225	559775962523.4553
3.6020408163265305	581219549026.5457
3.7959183673469385	602442935244.1608
3.9897959183673466	623458864599.9994
4.183673469387755	644278349160.7422
4.377551020408163	664910986396.9524
4.571428571428571	685365207237.2792
4.76530612244898	705648472419.3948
4.959183673469387	725767429441.6364
5.153061224489796	745728039146.5636
5.346938775510204	765535678652.296
5.540816326530612	785195225685.5375
5.73469387755102	804711128161.5568
5.928571428571429	824087461966.2288
6.122448979591836	843327979232.5466
6.316326530612245	862436148905.4283
6.5102040816326525	881415191009.0662
6.704081632653061	900268105741.6454
6.8979591836734695	918997698296.1887
7.091836734693877	937606600132.2218
7.285714285714286	956097287284.9698
7.479591836734693	974472096190.254
7.673469387755102	992733237416.8822
7.86734693877551	1010882807628.6277
8.061224489795919	1028922800043.1436
8.255102040816325	1046855113608.8607
8.448979591836736	1064681561085.1404
8.642857142857142	1082403876180.5801
8.83673469387755	1100023719879.4963
9.03061224489796	1117542686067.4038
9.224489795918368	1134962306547.443
9.418367346938775	1152284055528.039
9.612244897959183	1169509353648.7896
9.806122448979592	1186639571602.4553
10.0	1203676033402.598
