Ne
P	n_e0
0.5	2.8058465079582944e+16
0.6938775510204082	3.4203808391382524e+16
0.8877551020408163	3.913540314759662e+16
1.0816326530612246	4.3320569759176136e+16
1.2755102040816326	4.700022155926179e+16
1.4693877551020407	5.0313954253192776e+16
1.663265306122449	5.334971234161426e+16
1.8571428571428572	5.616647906308306e+16
2.0510204081632653	5.8805779236799224e+16
2.2448979591836733	6.12979967766799e+16
2.4387755102040813	6.366607192237097e+16
2.63265306122449	6.592777974824608e+16
2.826530612244898	6.809719588247768e+16
3.020408163265306	7.018567410613685e+16
3.2142857142857144	7.220251886551438e+16
3.4081632653061225	7.415546044229805e+16
3.6020408163265305	7.605099861485352e+16
3.7959183673469385	7.789465636292533e+16
3.9897959183673466	7.969117060213922e+16
4.183673469387755	8.14446379240185e+16
4.377551020408163	8.315862758878112e+16
4.571428571428571	8.483627028634354e+16
4.76530612244898	8.648032869573419e+16
4.959183673469387	8.809325418483237e+16
5.153061224489796	8.967723282448464e+16
5.346938775510204	9.12342230697281e+16
5.540816326530612	9.276598687442157e+16
5.73469387755102	9.427411558096392e+16
5.928571428571429	9.576005161538806e+16
6.122448979591836	9.722510678696026e+16
6.316326530612245	9.867047781796605e+16
6.5102040816326525	1.000972595978123e+17
6.704081632653061	1.0150645655490286e+17
6.8979591836734695	1.0289899246193565e+17
7.091836734693877	1.0427571892968133e+17
7.285714285714286	1.0563742279671826e+17
7.479591836734693	1.0698483258495606e+17
7.673469387755102	1.0831862416079568e+17
7.86734693877551	1.0963942571772584e+17
8.061224489795919	1.1094782217675323e+17
8.255102040816325	1.1224435908531306e+17
8.448979591836736	1.1352954608244974e+17
8.642857142857142	1.148038599875065e+17
8.83673469387755	1.1606774756086294e+17
9.03061224489796	1.1732162797804557e+17
9.224489795918368	1.1856589505253413e+17
9.418367346938775	1.1980091923756581e+17
9.612244897959183	1.210270494330242e+17
9.806122448979592	1.2224461461994758e+17
10.0	1.2345392534217806e+17
